"","cssemKolen","trueSS"
"1",0.0217745718483717,101.000236538851
"2",0.0364026282633526,101.000660021948
"3",0.0563204219672029,101.001576354553
"4",0.0839907179351108,101.003495127418
"5",0.122648958956272,101.007422852722
"6",0.176810728050392,101.015346557582
"7",0.252813778607374,101.031180717057
"8",0.359418370461445,101.062597715373
"9",0.508247145875848,101.124460574828
"10",0.713420631142786,101.244896610008
"11",0.98898063333707,101.474951991545
"12",1.34147583048238,101.901019183044
"13",1.75242790624783,102.653201640346
"14",2.14266308338422,103.887175548454
"15",2.35183812285599,105.697621736071
"16",2.26813310238545,107.99278517322
"17",1.96731461024508,110.497555315721
"18",1.65822832792244,112.940955700691
"19",1.49948349461466,115.231424020866
"20",1.3953914524593,117.389448926194
"21",1.26111887349263,119.203294062677
"22",1.46514061598493,120.884112210114
"23",1.6578057509928,122.631532078365
"24",1.77211117868491,124.297163753159
"25",1.76923319570792,125.772789115557
"26",1.6609470162953,126.970587209521
"27",1.55097747588887,127.896511127448
"28",1.46904811031108,128.614053375861
"29",1.39332647402048,129.177628001316
"30",1.30479722257099,129.621434225797
"31",1.19953040799687,129.968142894548
"32",1.08253210699145,130.235574861825
"33",0.961134497393247,130.439168974119
"34",0.841641463319149,130.592383427377
"35",0.728337760734799,130.706593100799
"36",0.623601912721444,130.791076112711
"37",0.528358540218088,130.85317961258
"38",0.442519786382246,130.898597818805
"39",0.365273093172763,130.931687467085
"40",0.295084298016609,130.955785219764
"41",0.228746358099745,130.973593090403
